VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_COLOR0.x, in_COLOR0.y, in_COLOR0.z, in_COLOR0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y, in_TEXCOORD2.x, in_TEXCOORD2.y, in_BLENDWEIGHTS0.x, in_BLENDWEIGHTS0.y, in_BLENDWEIGHTS0.z, in_BLENDWEIGHTS0.w, in_BLENDINDICES0.x, in_BLENDINDICES0.y, in_BLENDINDICES0.z, in_BLENDINDICES0.w
0, 0,  0.18816,  1.41022,  0.08144,  0.66211, -0.09161, -0.74365,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803, -2.14577E-06,  0.47803, -2.14577E-06,  0.47803, -2.14577E-06,  0.56683,  0.43317,  0.00,  0.00, 1, 0, 0, 0
1, 1,  0.16321,  1.42248,  0.04127,  0.79639, -0.12299, -0.59229,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00, -2.14577E-06,  0.00, -2.14577E-06,  0.00, -2.14577E-06,  0.52964,  0.47036,  0.00,  0.00, 1, 0, 0, 0
2, 2,  0.17446,  1.46982,  0.05064,  0.74365, -0.17151, -0.64648,  0.00,  1.00,  1.00,  1.00,  1.00,  1.78814E-07,  0.04916,  1.78814E-07,  0.04916,  1.78814E-07,  0.04916,  0.60417,  0.39583,  0.00,  0.00, 0, 1, 0, 0
3, 0,  0.18816,  1.41022,  0.08144,  0.66211, -0.09161, -0.74365,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803, -2.14577E-06,  0.47803, -2.14577E-06,  0.47803, -2.14577E-06,  0.56683,  0.43317,  0.00,  0.00, 1, 0, 0, 0
4, 2,  0.17446,  1.46982,  0.05064,  0.74365, -0.17151, -0.64648,  0.00,  1.00,  1.00,  1.00,  1.00,  1.78814E-07,  0.04916,  1.78814E-07,  0.04916,  1.78814E-07,  0.04916,  0.60417,  0.39583,  0.00,  0.00, 0, 1, 0, 0
5, 3,  0.205,  1.45178,  0.09137,  0.58252, -0.13965, -0.80078,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.04916,  0.47803,  0.04916,  0.47803,  0.04916,  0.58784,  0.41216,  0.00,  0.00, 0, 1, 0, 0
6, 4,  0.20904,  1.39402,  0.09743,  0.4978, -0.05585, -0.86523,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00, -2.14577E-06,  1.00, -2.14577E-06,  1.00, -2.14577E-06,  0.58965,  0.41035,  0.00,  0.00, 1, 0, 0, 0
7, 0,  0.18816,  1.41022,  0.08144,  0.66211, -0.09161, -0.74365,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803, -2.14577E-06,  0.47803, -2.14577E-06,  0.47803, -2.14577E-06,  0.56683,  0.43317,  0.00,  0.00, 1, 0, 0, 0
8, 3,  0.205,  1.45178,  0.09137,  0.58252, -0.13965, -0.80078,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.04916,  0.47803,  0.04916,  0.47803,  0.04916,  0.58784,  0.41216,  0.00,  0.00, 0, 1, 0, 0
9, 4,  0.20904,  1.39402,  0.09743,  0.4978, -0.05585, -0.86523,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00, -2.14577E-06,  1.00, -2.14577E-06,  1.00, -2.14577E-06,  0.58965,  0.41035,  0.00,  0.00, 1, 0, 0, 0
10, 3,  0.205,  1.45178,  0.09137,  0.58252, -0.13965, -0.80078,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.04916,  0.47803,  0.04916,  0.47803,  0.04916,  0.58784,  0.41216,  0.00,  0.00, 0, 1, 0, 0
11, 5,  0.23282,  1.42957,  0.10588,  0.40527, -0.09729, -0.90918,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.04916,  1.00,  0.04916,  1.00,  0.04916,  0.5379,  0.4621,  0.00,  0.00, 0, 1, 0, 0
12, 2,  0.17446,  1.46982,  0.05064,  0.74365, -0.17151, -0.64648,  0.00,  1.00,  1.00,  1.00,  1.00,  1.78814E-07,  0.04916,  1.78814E-07,  0.04916,  1.78814E-07,  0.04916,  0.60417,  0.39583,  0.00,  0.00, 0, 1, 0, 0
13, 6,  0.22471,  1.49087,  0.09425,  0.34106, -0.32275, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.09143,  0.47803,  0.09143,  0.47803,  0.09143,  0.71098,  0.28902,  0.00,  0.00, 0, 1, 0, 0
14, 3,  0.205,  1.45178,  0.09137,  0.58252, -0.13965, -0.80078,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.04916,  0.47803,  0.04916,  0.47803,  0.04916,  0.58784,  0.41216,  0.00,  0.00, 0, 1, 0, 0
15, 5,  0.23282,  1.42957,  0.10588,  0.40527, -0.09729, -0.90918,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.04916,  1.00,  0.04916,  1.00,  0.04916,  0.5379,  0.4621,  0.00,  0.00, 0, 1, 0, 0
16, 3,  0.205,  1.45178,  0.09137,  0.58252, -0.13965, -0.80078,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.04916,  0.47803,  0.04916,  0.47803,  0.04916,  0.58784,  0.41216,  0.00,  0.00, 0, 1, 0, 0
17, 6,  0.22471,  1.49087,  0.09425,  0.34106, -0.32275, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.09143,  0.47803,  0.09143,  0.47803,  0.09143,  0.71098,  0.28902,  0.00,  0.00, 0, 1, 0, 0
18, 5,  0.23282,  1.42957,  0.10588,  0.40527, -0.09729, -0.90918,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.04916,  1.00,  0.04916,  1.00,  0.04916,  0.5379,  0.4621,  0.00,  0.00, 0, 1, 0, 0
19, 6,  0.22471,  1.49087,  0.09425,  0.34106, -0.32275, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.09143,  0.47803,  0.09143,  0.47803,  0.09143,  0.71098,  0.28902,  0.00,  0.00, 0, 1, 0, 0
20, 7,  0.25743,  1.46296,  0.10676,  0.13, -0.26978, -0.9541,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.09143,  1.00,  0.09143,  1.00,  0.09143,  0.67297,  0.32703,  0.00,  0.00, 0, 1, 0, 0
21, 2,  0.17446,  1.46982,  0.05064,  0.74365, -0.17151, -0.64648,  0.00,  1.00,  1.00,  1.00,  1.00,  1.78814E-07,  0.04916,  1.78814E-07,  0.04916,  1.78814E-07,  0.04916,  0.60417,  0.39583,  0.00,  0.00, 0, 1, 0, 0
22, 8,  0.18841,  1.51607,  0.05484,  0.52734, -0.3606, -0.76953,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.09143,  0.00,  0.09143,  0.00,  0.09143,  0.73323,  0.26677,  0.00,  0.00, 0, 1, 0, 0
23, 6,  0.22471,  1.49087,  0.09425,  0.34106, -0.32275, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.09143,  0.47803,  0.09143,  0.47803,  0.09143,  0.71098,  0.28902,  0.00,  0.00, 0, 1, 0, 0
24, 6,  0.22471,  1.49087,  0.09425,  0.34106, -0.32275, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.09143,  0.47803,  0.09143,  0.47803,  0.09143,  0.71098,  0.28902,  0.00,  0.00, 0, 1, 0, 0
25, 9,  0.28529,  1.49266,  0.08894, -0.18152, -0.42065, -0.88867,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.13184,  1.00,  0.13184,  1.00,  0.13184,  0.82042,  0.17958,  0.00,  0.00, 0, 1, 0, 0
26, 7,  0.25743,  1.46296,  0.10676,  0.13, -0.26978, -0.9541,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.09143,  1.00,  0.09143,  1.00,  0.09143,  0.67297,  0.32703,  0.00,  0.00, 0, 1, 0, 0
27, 8,  0.18841,  1.51607,  0.05484,  0.52734, -0.3606, -0.76953,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.09143,  0.00,  0.09143,  0.00,  0.09143,  0.73323,  0.26677,  0.00,  0.00, 0, 1, 0, 0
28, 10,  0.25249,  1.52577,  0.07981,  0.02751, -0.46899, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.13184,  0.47803,  0.13184,  0.47803,  0.13184,  0.86453,  0.13547,  0.00,  0.00, 0, 1, 0, 0
29, 6,  0.22471,  1.49087,  0.09425,  0.34106, -0.32275, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.09143,  0.47803,  0.09143,  0.47803,  0.09143,  0.71098,  0.28902,  0.00,  0.00, 0, 1, 0, 0
30, 6,  0.22471,  1.49087,  0.09425,  0.34106, -0.32275, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.09143,  0.47803,  0.09143,  0.47803,  0.09143,  0.71098,  0.28902,  0.00,  0.00, 0, 1, 0, 0
31, 10,  0.25249,  1.52577,  0.07981,  0.02751, -0.46899, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.13184,  0.47803,  0.13184,  0.47803,  0.13184,  0.86453,  0.13547,  0.00,  0.00, 0, 1, 0, 0
32, 9,  0.28529,  1.49266,  0.08894, -0.18152, -0.42065, -0.88867,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.13184,  1.00,  0.13184,  1.00,  0.13184,  0.82042,  0.17958,  0.00,  0.00, 0, 1, 0, 0
33, 8,  0.18841,  1.51607,  0.05484,  0.52734, -0.3606, -0.76953,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.09143,  0.00,  0.09143,  0.00,  0.09143,  0.73323,  0.26677,  0.00,  0.00, 0, 1, 0, 0
34, 11,  0.20923,  1.56105,  0.04661,  0.20679, -0.49707, -0.84277,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.13184,  0.00,  0.13184,  0.00,  0.13184,  0.88103,  0.11897,  0.00,  0.00, 0, 1, 0, 0
35, 10,  0.25249,  1.52577,  0.07981,  0.02751, -0.46899, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.13184,  0.47803,  0.13184,  0.47803,  0.13184,  0.86453,  0.13547,  0.00,  0.00, 0, 1, 0, 0
36, 12,  0.31682,  1.51929,  0.06011, -0.28418, -0.36475, -0.88672,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.17297,  1.00,  0.17297,  1.00,  0.17297,  0.93518,  0.06482,  0.00,  0.00, 0, 1, 0, 0
37, 9,  0.28529,  1.49266,  0.08894, -0.18152, -0.42065, -0.88867,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.13184,  1.00,  0.13184,  1.00,  0.13184,  0.82042,  0.17958,  0.00,  0.00, 0, 1, 0, 0
38, 10,  0.25249,  1.52577,  0.07981,  0.02751, -0.46899, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.13184,  0.47803,  0.13184,  0.47803,  0.13184,  0.86453,  0.13547,  0.00,  0.00, 0, 1, 0, 0
39, 11,  0.20923,  1.56105,  0.04661,  0.20679, -0.49707, -0.84277,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.13184,  0.00,  0.13184,  0.00,  0.13184,  0.88103,  0.11897,  0.00,  0.00, 0, 1, 0, 0
40, 13,  0.28473,  1.55961,  0.05438, -0.12091, -0.41284, -0.90283,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.17297,  0.47803,  0.17297,  0.47803,  0.17297,  0.95087,  0.04913,  0.00,  0.00, 0, 1, 0, 0
41, 10,  0.25249,  1.52577,  0.07981,  0.02751, -0.46899, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.13184,  0.47803,  0.13184,  0.47803,  0.13184,  0.86453,  0.13547,  0.00,  0.00, 0, 1, 0, 0
42, 12,  0.31682,  1.51929,  0.06011, -0.28418, -0.36475, -0.88672,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.17297,  1.00,  0.17297,  1.00,  0.17297,  0.93518,  0.06482,  0.00,  0.00, 0, 1, 0, 0
43, 10,  0.25249,  1.52577,  0.07981,  0.02751, -0.46899, -0.88281,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.13184,  0.47803,  0.13184,  0.47803,  0.13184,  0.86453,  0.13547,  0.00,  0.00, 0, 1, 0, 0
44, 13,  0.28473,  1.55961,  0.05438, -0.12091, -0.41284, -0.90283,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.17297,  0.47803,  0.17297,  0.47803,  0.17297,  0.95087,  0.04913,  0.00,  0.00, 0, 1, 0, 0
45, 11,  0.20923,  1.56105,  0.04661,  0.20679, -0.49707, -0.84277,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.13184,  0.00,  0.13184,  0.00,  0.13184,  0.88103,  0.11897,  0.00,  0.00, 0, 1, 0, 0
46, 14,  0.2384,  1.60441,  0.03131,  0.03081, -0.44629, -0.89453,  0.00,  1.00,  1.00,  1.00,  1.00,  1.78814E-07,  0.17297,  1.78814E-07,  0.17297,  1.78814E-07,  0.17297,  0.95985,  0.04015,  0.00,  0.00, 0, 1, 0, 0
47, 13,  0.28473,  1.55961,  0.05438, -0.12091, -0.41284, -0.90283,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.17297,  0.47803,  0.17297,  0.47803,  0.17297,  0.95087,  0.04913,  0.00,  0.00, 0, 1, 0, 0
48, 15,  0.28815,  1.66072,  0.01128, -0.09998, -0.37061, -0.92334,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.22266,  0.00,  0.22266,  0.00,  0.22266,  0.89293,  0.10486,  0.00221,  0.00, 0, 2, 1, 0
49, 13,  0.28473,  1.55961,  0.05438, -0.12091, -0.41284, -0.90283,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.17297,  0.47803,  0.17297,  0.47803,  0.17297,  0.95087,  0.04913,  0.00,  0.00, 0, 1, 0, 0
50, 14,  0.2384,  1.60441,  0.03131,  0.03081, -0.44629, -0.89453,  0.00,  1.00,  1.00,  1.00,  1.00,  1.78814E-07,  0.17297,  1.78814E-07,  0.17297,  1.78814E-07,  0.17297,  0.95985,  0.04015,  0.00,  0.00, 0, 1, 0, 0
51, 16,  0.33024,  1.6072,  0.02951, -0.21106, -0.32275, -0.92285,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.22266,  0.47803,  0.22266,  0.47803,  0.22266,  0.89206,  0.10356,  0.00439,  0.00, 0, 2, 1, 0
52, 12,  0.31682,  1.51929,  0.06011, -0.28418, -0.36475, -0.88672,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.17297,  1.00,  0.17297,  1.00,  0.17297,  0.93518,  0.06482,  0.00,  0.00, 0, 1, 0, 0
53, 13,  0.28473,  1.55961,  0.05438, -0.12091, -0.41284, -0.90283,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.17297,  0.47803,  0.17297,  0.47803,  0.17297,  0.95087,  0.04913,  0.00,  0.00, 0, 1, 0, 0
54, 15,  0.28815,  1.66072,  0.01128, -0.09998, -0.37061, -0.92334,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.22266,  0.00,  0.22266,  0.00,  0.22266,  0.89293,  0.10486,  0.00221,  0.00, 0, 2, 1, 0
55, 16,  0.33024,  1.6072,  0.02951, -0.21106, -0.32275, -0.92285,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.22266,  0.47803,  0.22266,  0.47803,  0.22266,  0.89206,  0.10356,  0.00439,  0.00, 0, 2, 1, 0
56, 13,  0.28473,  1.55961,  0.05438, -0.12091, -0.41284, -0.90283,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.17297,  0.47803,  0.17297,  0.47803,  0.17297,  0.95087,  0.04913,  0.00,  0.00, 0, 1, 0, 0
57, 16,  0.33024,  1.6072,  0.02951, -0.21106, -0.32275, -0.92285,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.22266,  0.47803,  0.22266,  0.47803,  0.22266,  0.89206,  0.10356,  0.00439,  0.00, 0, 2, 1, 0
58, 17,  0.36118,  1.55352,  0.0346, -0.32788, -0.26465, -0.90674,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.22266,  1.00,  0.22266,  1.00,  0.22266,  0.90031,  0.09146,  0.00822,  0.00, 0, 2, 1, 0
59, 12,  0.31682,  1.51929,  0.06011, -0.28418, -0.36475, -0.88672,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.17297,  1.00,  0.17297,  1.00,  0.17297,  0.93518,  0.06482,  0.00,  0.00, 0, 1, 0, 0
60, 18,  0.35505,  1.71444, -0.01613, -0.28784, -0.30811, -0.90674,  0.00,  1.00,  1.00,  1.00,  1.00,  1.78814E-07,  0.27588,  1.78814E-07,  0.27588,  1.78814E-07,  0.27588,  0.6267,  0.3733,  0.00,  0.00, 0, 2, 0, 0
61, 16,  0.33024,  1.6072,  0.02951, -0.21106, -0.32275, -0.92285,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.22266,  0.47803,  0.22266,  0.47803,  0.22266,  0.89206,  0.10356,  0.00439,  0.00, 0, 2, 1, 0
62, 15,  0.28815,  1.66072,  0.01128, -0.09998, -0.37061, -0.92334,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.22266,  0.00,  0.22266,  0.00,  0.22266,  0.89293,  0.10486,  0.00221,  0.00, 0, 2, 1, 0
63, 19,  0.38711,  1.6541, -0.00499, -0.38208, -0.26733, -0.88477,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.27588,  0.47803,  0.27588,  0.47803,  0.27588,  0.62327,  0.37673,  0.00,  0.00, 0, 2, 0, 0
64, 17,  0.36118,  1.55352,  0.0346, -0.32788, -0.26465, -0.90674,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.22266,  1.00,  0.22266,  1.00,  0.22266,  0.90031,  0.09146,  0.00822,  0.00, 0, 2, 1, 0
65, 16,  0.33024,  1.6072,  0.02951, -0.21106, -0.32275, -0.92285,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.22266,  0.47803,  0.22266,  0.47803,  0.22266,  0.89206,  0.10356,  0.00439,  0.00, 0, 2, 1, 0
66, 18,  0.35505,  1.71444, -0.01613, -0.28784, -0.30811, -0.90674,  0.00,  1.00,  1.00,  1.00,  1.00,  1.78814E-07,  0.27588,  1.78814E-07,  0.27588,  1.78814E-07,  0.27588,  0.6267,  0.3733,  0.00,  0.00, 0, 2, 0, 0
67, 19,  0.38711,  1.6541, -0.00499, -0.38208, -0.26733, -0.88477,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.27588,  0.47803,  0.27588,  0.47803,  0.27588,  0.62327,  0.37673,  0.00,  0.00, 0, 2, 0, 0
68, 16,  0.33024,  1.6072,  0.02951, -0.21106, -0.32275, -0.92285,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.22266,  0.47803,  0.22266,  0.47803,  0.22266,  0.89206,  0.10356,  0.00439,  0.00, 0, 2, 1, 0
69, 19,  0.38711,  1.6541, -0.00499, -0.38208, -0.26733, -0.88477,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.27588,  0.47803,  0.27588,  0.47803,  0.27588,  0.62327,  0.37673,  0.00,  0.00, 0, 2, 0, 0
70, 20,  0.41282,  1.58676, -0.00258, -0.47583, -0.2179, -0.85205,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.27588,  1.00,  0.27588,  1.00,  0.27588,  0.6536,  0.3464,  0.00,  0.00, 0, 2, 0, 0
71, 17,  0.36118,  1.55352,  0.0346, -0.32788, -0.26465, -0.90674,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.22266,  1.00,  0.22266,  1.00,  0.22266,  0.90031,  0.09146,  0.00822,  0.00, 0, 2, 1, 0
72, 21,  0.4378,  1.69017, -0.04361, -0.56201, -0.18286, -0.80664,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.32275,  0.47803,  0.32275,  0.47803,  0.32275,  0.61291,  0.38709,  0.00,  0.00, 2, 0, 0, 0
73, 19,  0.38711,  1.6541, -0.00499, -0.38208, -0.26733, -0.88477,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.27588,  0.47803,  0.27588,  0.47803,  0.27588,  0.62327,  0.37673,  0.00,  0.00, 0, 2, 0, 0
74, 18,  0.35505,  1.71444, -0.01613, -0.28784, -0.30811, -0.90674,  0.00,  1.00,  1.00,  1.00,  1.00,  1.78814E-07,  0.27588,  1.78814E-07,  0.27588,  1.78814E-07,  0.27588,  0.6267,  0.3733,  0.00,  0.00, 0, 2, 0, 0
75, 20,  0.41282,  1.58676, -0.00258, -0.47583, -0.2179, -0.85205,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.27588,  1.00,  0.27588,  1.00,  0.27588,  0.6536,  0.3464,  0.00,  0.00, 0, 2, 0, 0
76, 19,  0.38711,  1.6541, -0.00499, -0.38208, -0.26733, -0.88477,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.27588,  0.47803,  0.27588,  0.47803,  0.27588,  0.62327,  0.37673,  0.00,  0.00, 0, 2, 0, 0
77, 21,  0.4378,  1.69017, -0.04361, -0.56201, -0.18286, -0.80664,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.32275,  0.47803,  0.32275,  0.47803,  0.32275,  0.61291,  0.38709,  0.00,  0.00, 2, 0, 0, 0
78, 20,  0.41282,  1.58676, -0.00258, -0.47583, -0.2179, -0.85205,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.27588,  1.00,  0.27588,  1.00,  0.27588,  0.6536,  0.3464,  0.00,  0.00, 0, 2, 0, 0
79, 21,  0.4378,  1.69017, -0.04361, -0.56201, -0.18286, -0.80664,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.32275,  0.47803,  0.32275,  0.47803,  0.32275,  0.61291,  0.38709,  0.00,  0.00, 2, 0, 0, 0
80, 22,  0.45549,  1.61449, -0.04383, -0.62939, -0.15356, -0.76172,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.32275,  1.00,  0.32275,  1.00,  0.32275,  0.58996,  0.41004,  0.00,  0.00, 2, 0, 0, 0
81, 21,  0.4378,  1.69017, -0.04361, -0.56201, -0.18286, -0.80664,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.32275,  0.47803,  0.32275,  0.47803,  0.32275,  0.61291,  0.38709,  0.00,  0.00, 2, 0, 0, 0
82, 18,  0.35505,  1.71444, -0.01613, -0.28784, -0.30811, -0.90674,  0.00,  1.00,  1.00,  1.00,  1.00,  1.78814E-07,  0.27588,  1.78814E-07,  0.27588,  1.78814E-07,  0.27588,  0.6267,  0.3733,  0.00,  0.00, 0, 2, 0, 0
83, 23,  0.41756,  1.75414, -0.04839, -0.49634, -0.20044, -0.84473,  0.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.32275,  0.00,  0.32275,  0.00,  0.32275,  0.61633,  0.38367,  0.00,  0.00, 2, 0, 0, 0
84, 21,  0.4378,  1.69017, -0.04361, -0.56201, -0.18286, -0.80664,  0.00,  1.00,  1.00,  1.00,  1.00,  0.47803,  0.32275,  0.47803,  0.32275,  0.47803,  0.32275,  0.61291,  0.38709,  0.00,  0.00, 2, 0, 0, 0
85, 24,  0.49041,  1.64214, -0.09072, -0.7959, -0.07001, -0.60156,  0.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.36743,  1.00,  0.36743,  1.00,  0.36743,  0.77285,  0.22715,  0.00,  0.00, 2, 0, 0, 0
